Usuario,ID del tweet,Contenido
ElGeneralVargas,1714605233232290050,Conmigo la seguridad va en serio! 🫡
ElGeneralVargas,1717636497493361074,En minutos estaremos #AlAire en @blogdeportivo de @BluRadioCo desde la localidad de Barrios Unidos.
ElGeneralVargas,1717614937361522719,Bogotá ¿cómo vamos?… Así…
ElGeneralVargas,1717575245169652211,Cruel y abominable asesinato sacude a Bogotá. Un padre con su hijo fueron víctimas de sicarios en moto!!!
ElGeneralVargas,1717609174572433777,RT @#ElDebateFinal - #YoVotoPor | “El presidente Gustavo Petro sigue en campaña (…) es el jefe de debate de Gustavo Bolívar”: Jorge Luis Vargas. https://t.co/if1kX8q65f https://t.co/dX2WiDBN2R
ElGeneralVargas,1717505100342603986,#ElDebateFinal - #YoVotoPor | “El presidente Gustavo Petro sigue en campaña (…) es el jefe de debate de Gustavo Bolívar”: Jorge Luis Vargas. https://t.co/if1kX8q65f https://t.co/dX2WiDBN2R
ElGeneralVargas,1717607529604075699,RT @RevistaSemana: El general (r) Jorge Luis Vargas no se guardó nada: https://t.co/ctiwtuTVRb https://t.co/I7BdgMvjUI
ElGeneralVargas,1717499170624246107,El general (r) Jorge Luis Vargas no se guardó nada: https://t.co/ctiwtuTVRb https://t.co/I7BdgMvjUI
ElGeneralVargas,1717607435970429206,RT @#NoticieroW | No más injerencia de Petro en la ciudad: Jorge Luis Vargas sobre el metro de Bogotá https://t.co/ZQY6hTiEqH
ElGeneralVargas,1717595626278428734,#NoticieroW | No más injerencia de Petro en la ciudad: Jorge Luis Vargas sobre el metro de Bogotá https://t.co/ZQY6hTiEqH
ElGeneralVargas,1717550476202233925,"Claudia López nos quería imponer el Corredor Verde, igual que Petro y Bolívar pretenden hacer con su metro."
ElGeneralVargas,1717537025484562555,🚨Alerta internacional🚨 ¿Qué hay detrás de la petición de Mancuso para repatriar a Otoniel y Don Mario? ¿Otro pacto de la Picota en época electoral? https://t.co/WC0uqutFBi
ElGeneralVargas,1717521768477294903,Estamos #AlAire con @williamvinasco y su equipo en @CandelaBogota. Sintoniza 101.9 o conéctate aquí 👉🏼
ElGeneralVargas,1717512882336780540,¿Se siente inseguro de su voto?
ElGeneralVargas,1717479064372494483,"RT @#ElDebateFinal - #YoVotoPor | ""Es posible convertir a Bogotá en una de las ciudades más seguras del mundo"": @ElGeneralVargas"
ElGeneralVargas,1717373447188189210,"#ElDebateFinal - #YoVotoPor | ""Es posible convertir a Bogotá en una de las ciudades más seguras del mundo"": @ElGeneralVargas"
ElGeneralVargas,1717392448689787325,Sensata decisión de la justicia. Con @camilorubianobe fuimos los primeros en oponernos a la terquedad de la alcaldesa con el Corredor Verde en un momento absolutamente inconveniente para Bogotá.
ElGeneralVargas,1717385796703961194,"#Atención Un juez ordena suspender la licitación del Corredor Verde por la carrera Séptima, en Bogotá, hasta que sea “ajustado y eliminado de su diseño la construcción de troncales para la implementación de un sistema de transporte público masivo”. La decisión impide la apertura de nuevas licitaciones para ese proyecto vial."
ElGeneralVargas,1717376399856599514,"Este 29 octubre vote por su vida, por su futuro y el de su familia, por la #SeguridadYOrden para Bogotá. Elija"
ElGeneralVargas,1717370552006971750,Con @PCambioRadical seremos los primeros protectores de las mujeres en #Bogotá. Hoy promovemos el rol de la mujer en nuestra campaña y rechazamos ataques como los que se han presentado contra mujeres como @VickyDavilaH.
ElGeneralVargas,1717373784250814946,Preguntas rápidas: en 1 minuto con @VickyDavilaH en #ElDebateFinal de @RevistaSemana.
ElGeneralVargas,1717371944775905371,RT @La frase de @ElGeneralVargas
ElGeneralVargas,1717339598659952669,La frase de @ElGeneralVargas
ElGeneralVargas,1717367692095545650,RT @RevistaSemana: #ElDebateFinal - #YoVotoPor | Siga el debate aquí: https://t.co/RRv8aMkFlR https://t.co/KMakO60up6
ElGeneralVargas,1717339615843991843,#ElDebateFinal - #YoVotoPor | Siga el debate aquí: https://t.co/RRv8aMkFlR https://t.co/KMakO60up6
ElGeneralVargas,1717367596373192751,RT @#ElDebateFinal |  “El presidente Petro es el jefe de debate de Gustavo Bolívar”: Jorge Luis Vargas se despacha contra el candidato del Pacto Histórico. #YoVotoPor
ElGeneralVargas,1717340648481734856,#ElDebateFinal |  “El presidente Petro es el jefe de debate de Gustavo Bolívar”: Jorge Luis Vargas se despacha contra el candidato del Pacto Histórico. #YoVotoPor
ElGeneralVargas,1717367548595900600,"RT @#ElDebateFinal - #YoVotoPor | ""Chambón lo que ha hecho Claudia López, chambón lo que está haciendo Petro con el país"": @ElGeneralVargas"
ElGeneralVargas,1717340994847248423,"#ElDebateFinal - #YoVotoPor | ""Chambón lo que ha hecho Claudia López, chambón lo que está haciendo Petro con el país"": @ElGeneralVargas"
ElGeneralVargas,1717367400188830035,"RT @#ElDebateFinal - #YoVotoPor | ""La primera línea fue la que incendió al país, la primera línea que fue intrumentalizada por Gustavo Petro y por Gustavo Bolívar que está acá y aspira a ser alcalde Bogotá"": @ElGeneralVargas"
ElGeneralVargas,1717346871989936567,"#ElDebateFinal - #YoVotoPor | ""La primera línea fue la que incendió al país, la primera línea que fue intrumentalizada por Gustavo Petro y por Gustavo Bolívar que está acá y aspira a ser alcalde Bogotá"": @ElGeneralVargas"
ElGeneralVargas,1717367314276929722,"RT @#ElDebateFinal - #YoVotoPor | ""Fueron con pactos con la guerrilla, muchos de los cabecillas de la primera línea, (Petro y Bolívar) estaban metidos en la instrumentalización de la violencia y las mentiras contra la Policía"": @ElGeneralVargas"
ElGeneralVargas,1717348275173425494,"#ElDebateFinal - #YoVotoPor | ""Fueron con pactos con la guerrilla, muchos de los cabecillas de la primera línea, (Petro y Bolívar) estaban metidos en la instrumentalización de la violencia y las mentiras contra la Policía"": @ElGeneralVargas"
ElGeneralVargas,1714605233232290050,Conmigo la seguridad va en serio! 🫡
ElGeneralVargas,1717367018662334943,"RT @#ElDebateFinal - #YoVotoPor | ""Hoy Cambio Radical es una opción real para que los bogotanos tengan una opción diferente. Son el cambio"": @ElGeneralVargas"
ElGeneralVargas,1717358178671669417,"#ElDebateFinal - #YoVotoPor | ""Hoy Cambio Radical es una opción real para que los bogotanos tengan una opción diferente. Son el cambio"": @ElGeneralVargas"
ElGeneralVargas,1717366956108423332,"RT @#ElDebateFinal - #YoVotoPor | ""El ELN fuera del país, destrozados todos en Cuba y en Venezuela"": @ElGeneralVargas"
ElGeneralVargas,1717361628042186980,"#ElDebateFinal - #YoVotoPor | ""El ELN fuera del país, destrozados todos en Cuba y en Venezuela"": @ElGeneralVargas"
ElGeneralVargas,1717366786759249970,"RT @#ElDebateFinal - #YoVotoPor | ""Claudia López le hace conejo a los adultos en Bogotá"": @ElGeneralVargas"
ElGeneralVargas,1717365834610303084,"#ElDebateFinal - #YoVotoPor | ""Claudia López le hace conejo a los adultos en Bogotá"": @ElGeneralVargas"
ElGeneralVargas,1717351146090545571,"La historia no miente. La primera línea, auspiciada por Petro y Bolivar se volcó a quemar el país. Hay quienes perdieron todo por la primera línea que nos sigue atacando. Si algún funcionario cometió delitos, debe caerle todo el peso de la ley."
ElGeneralVargas,1717359539383607579,Los policías y soldados de Colombia son héroes y son pilar de la democracia.
ElGeneralVargas,1717365472453075121,"Es gracias a los policías, a nuestra Fuerza Pública como doblegamos la voluntad de lucha de las FARC, sacamos corriendo a los cabecillas del ELN que no están presos y como capturamos a Otoniel y golpeamos al Clan del Golfo. Esos son los resultados que ofrezco."
ElGeneralVargas,1717358497682145779,Vamos a derrotar al continuismo de Petro y Claudia!
ElGeneralVargas,1717362456199045577,"El partido de oposición en Colombia es @PCambioRadical. Un partido con un gran líder como @German_Vargas, con congresistas serios como @lunadavid y @kroarbelaez, y con una gran lista de candidatos a Concejo y a ediles. Vamos a hacer la diferencia y a recuperar la #SeguridadYOrden https://t.co/6g3Qu6GQ1O"
ElGeneralVargas,1717337339066806469,El capricho de @petrogustavo con el #MetrodeBogotá para frenar la obra y sus mensajes desde China comprueban que es el jefe de debate de Bolívar. En lugar de ser presidente está en campaña.
ElGeneralVargas,1717342707977265591,@GustavoBolivar @RevistaSemana @VickyDavilaH A Petro se le volvió deporte entrometerse en Bogotá e irrespetar la autonomía de la ciudad. No lo vamos a permitir. #JorgeLuisVargas va a defender a los bogotanos y a devolverles la seguridad.
ElGeneralVargas,1717346191745102149,"@GustavoBolivar @RevistaSemana @VickyDavilaH Si por un lado Petro es el jefe de debate de Bolívar, me pregunto dónde iremos a parar si a Galán lo apoyan congresistas de un partido que respalda las nefastas reformas del gobierno. Hay dos vueltas y Bogotá no se puede equivocar."
