Usuario,ID del tweet,Contenido
GustavoBolivar,1708060063582101837,"Exministro de Salud de Duque, Fernando Ruiz, compró 2 millones de dosis para la malaria en niños de 5 a 9 años cuando apenas se necesitaban 8 mil."
GustavoBolivar,1717632167784718831,"RT @Carlos Galán nos llama mentirosos cuando es CLARO que su función como director de Cambio Radical fue la de lavarle la cara al partido y a él, con un procedimiento que no tenía lugar (ver en la noticia lo dicho por ex magistrado Joaquín José Vives, presidente para entonces del CNE)."
GustavoBolivar,1717584412760522849,"Carlos Galán nos llama mentirosos cuando es CLARO que su función como director de Cambio Radical fue la de lavarle la cara al partido y a él, con un procedimiento que no tenía lugar (ver en la noticia lo dicho por ex magistrado Joaquín José Vives, presidente para entonces del CNE)."
GustavoBolivar,1717391165924728907,A los ataques con mentiras respondemos con argumentos y con la verdad. Seguiremos trabajando para que Bogotá camine segura https://t.co/rO0EvHEc3V
GustavoBolivar,1714398099920101560,"No te pierdas La Hora Marcada, una serie original de ViX."
GustavoBolivar,1717619639142732161,Participando en política.
GustavoBolivar,1717525416594800920,Nuevamente los políticos interponen sus intereses y dañan a los ciudadanos.
GustavoBolivar,1717603839954583950,"RT @Un periodista de El Pais, me acompañó un día completo de campaña y realizó esta crónica, acompañada de un perfil humano que me gustaría conocieran y compartieran."
GustavoBolivar,1717544449335586945,"Un periodista de El Pais, me acompañó un día completo de campaña y realizó esta crónica, acompañada de un perfil humano que me gustaría conocieran y compartieran."
GustavoBolivar,1717578673065234632,RT @#VotarPor
GustavoBolivar,1717529861575606531,#VotarPor
GustavoBolivar,1714797919860060660,"🎉✨Quer algo além de GTA RP? Conheça o BrasilRPG, um servidor de vida real! Trabalhe, cometa crimes, seja caçador, construa seu próprio apartamento. É como GTA RP, mas com um toque único! Junte-se à cidade que nunca dorme! Acesse:https://t.co/RAMhpDILDm🎮🌟"
GustavoBolivar,1717526768477786441,"RT @La lista de donantes de @CarlosFGalan parece el listado de asistentes a Expoconstrucción. Me cuesta mucho creer en la generosidad de los gremios, en política no hay almuerzo gratis. ¿Cómo va a garantizar Galán su independencia con semejante empeñada? https://t.co/hyJhTDWkYN"
GustavoBolivar,1717275521669574669,"La lista de donantes de @CarlosFGalan parece el listado de asistentes a Expoconstrucción. Me cuesta mucho creer en la generosidad de los gremios, en política no hay almuerzo gratis. ¿Cómo va a garantizar Galán su independencia con semejante empeñada? https://t.co/hyJhTDWkYN"
GustavoBolivar,1717518494013464663,RT @Este 29 de octubre mi voto es por @GustavoBolivar.
GustavoBolivar,1717507682922324466,Este 29 de octubre mi voto es por @GustavoBolivar.
GustavoBolivar,1716760540951752728,"If you own a mouse, you will never turn off your computer again."
GustavoBolivar,1717378821719015498,Al final del debate quise hacerle una pregunta a @VickyDavilaH pero como se pudo se la hago acá:
GustavoBolivar,1717372497396449446,"RT @Mujeres de mi campaña me desagravian llevando a los debates que faltan, camisetas con esta frase:"
GustavoBolivar,1717324952083324982,"Mujeres de mi campaña me desagravian llevando a los debates que faltan, camisetas con esta frase:"
GustavoBolivar,1717284179556082038,La gente critica el descanso porque no valora el autocuidado. Son autómatas al servicio de sus ambiciones.
GustavoBolivar,1714577483498951084,Instant APIs for multi-tenant apps
GustavoBolivar,1717269067915022346,RT @🇨🇴 ¡Ya llegué a mi casita más hermosa! 🥰
GustavoBolivar,1717161428249895350,🇨🇴 ¡Ya llegué a mi casita más hermosa! 🥰
GustavoBolivar,1717212976841728166,"RT @Apoye las finanzas públicas pidiendo la factura electrónica en sus compras, y automáticamente participará en la rifa de 2800 premios de entre $100 mil y $10 millones. Sólo tiene que dar nombre, cédula, y correo electrónico. Aplica a compras entre 24 de octubre y 23 de noviembre."
GustavoBolivar,1717156121771704719,"Apoye las finanzas públicas pidiendo la factura electrónica en sus compras, y automáticamente participará en la rifa de 2800 premios de entre $100 mil y $10 millones. Sólo tiene que dar nombre, cédula, y correo electrónico. Aplica a compras entre 24 de octubre y 23 de noviembre."
GustavoBolivar,1717199884397183484,"RT @Dije en el debate de esta noche que todas las adolescentes y jóvenes de los estratos 1,2 y 3 de Bogotá tendrán de manera gratuita toallas higiénicas."
GustavoBolivar,1717032878893093326,"Dije en el debate de esta noche que todas las adolescentes y jóvenes de los estratos 1,2 y 3 de Bogotá tendrán de manera gratuita toallas higiénicas."
GustavoBolivar,1717181388548428255,"Me comprometí integralmente, Diego."
GustavoBolivar,1716771120756490343,"Señores candidatos a la Alcaldía, @JDOviedoA, @GustavoBolivar, @CarlosFGalan:"
GustavoBolivar,1710314839866736705,Los resultados de un estudio sobre la caracterización socioeconómica de los productores de palma de aceite muestran cómo la palmicultura en Colombia contribuye a mejorar la calidad de vida de las personas que se dedican a esta labor. #OrgulloPalmero https://t.co/x2G97jkIUc
GustavoBolivar,1717013577846964637,"RT @Gustavo Bolívar le pregunto a @CarlosFGalan sobre este trino y su responsabilidad con el metro de Bogotá al tirar a la basura, junto a Peñalosa, el metro subterráneo y apoyar uno elevado que no existe."
GustavoBolivar,1716994691021893709,"Gustavo Bolívar le pregunto a @CarlosFGalan sobre este trino y su responsabilidad con el metro de Bogotá al tirar a la basura, junto a Peñalosa, el metro subterráneo y apoyar uno elevado que no existe."
GustavoBolivar,667476008874979329,El metro propuesto por Petro se demoraría entre 8 y 10 años. El que propone Peñalosa se demorará entre 4 y 5 años.
GustavoBolivar,1717011030591607073,"RT @Entiendo la molestia de @GustavoBolivar en #ElDebateDefinitivo él estudia y se prepara aplicadamente por su responsabilidad con los electores, pero @Citytv de manera mediocre y acomodada le baja la altura a la discusión. Bolívar no está solo."
GustavoBolivar,1716998924358078699,"Entiendo la molestia de @GustavoBolivar en #ElDebateDefinitivo él estudia y se prepara aplicadamente por su responsabilidad con los electores, pero @Citytv de manera mediocre y acomodada le baja la altura a la discusión. Bolívar no está solo."
GustavoBolivar,1717005598707859564,RT @GustavoBolivar: Conteo regresivo...
GustavoBolivar,1716940977238344075,Conteo regresivo...
GustavoBolivar,1708060063582101837,"Exministro de Salud de Duque, Fernando Ruiz, compró 2 millones de dosis para la malaria en niños de 5 a 9 años cuando apenas se necesitaban 8 mil."
GustavoBolivar,1716994429058257121,"RT @Con la mentira de inaugurar el Metro en 2020, Galan y Peñalosa, botaron los estudios del Metro subterráneo."
GustavoBolivar,1716902133541613937,"Con la mentira de inaugurar el Metro en 2020, Galan y Peñalosa, botaron los estudios del Metro subterráneo."
GustavoBolivar,1716967327655240156,"Ofrezco disculpas Carlos Vicente. No vi el mensaje. Quedo Abierto al diálogo. Si quieres después de campaña para que no se piense que justo ahora te respondo. Un abrazo y mi respeto y admiración hacia usted, siempre."
GustavoBolivar,1709633498737205501,"Discrepo de ciertas posiciones de Bolívar pero creo que es un enemigo auténtico de la corrupción. Participé en la marcha que organizó contra ella hace unos años. Hace unos meses le escribí por DM para hablarle sobre un tema de corrupción en el gobierno nacional, pero no contestó."
GustavoBolivar,1716961898514587766,RT @Me puse a curiosear encuestas electorales de Bogotá de estos días y busque algunas de las elecciones presidenciales de 2022 para compararlas e inferir de su confiabilidad.
GustavoBolivar,1716877034993967578,Me puse a curiosear encuestas electorales de Bogotá de estos días y busque algunas de las elecciones presidenciales de 2022 para compararlas e inferir de su confiabilidad.
GustavoBolivar,1716940977238344075,Conteo regresivo...
GustavoBolivar,1716880710068547633,En 10 minutos al aire por @NoticiasCaracol
GustavoBolivar,1716861599850299460,"Este lamentable trino de Germán Navas, aunq ya lo borró, no me representa."
