Usuario,ID del tweet,Contenido
Nicolas,1717168084476219624,BOGOTÁ - SON USTEDES LOS DUEÑOS DE ESTA HERMOSA CIUDAD -
Nicolas,1717554563627069602,"Nuestro proyecto confronta el derroche del plan actual, proponiendo una solución revolucionaria: un parque lineal desde la Primera de Mayo hasta la 72. Esto evita los problemas del metro elevado en Caracas, siendo más eficiente y ecológico. Planteamos también la soterración de la Carrera 13, integrándola a la Avenida Caracas. Con una comisión de éxito y participación privada, aceleraremos el metro, beneficiando directamente a los ciudadanos y forjando una Bogotá sustentable para el futuro."
Nicolas,1716866744038666740,"RT @#ColombiaDecide2023 | Nicolás Ramos, candidato a la Alcaldía de Bogotá, expone sus propuestas. #PlazaCaracol"
Nicolas,1716808579997425987,"#ColombiaDecide2023 | Nicolás Ramos, candidato a la Alcaldía de Bogotá, expone sus propuestas. #PlazaCaracol"
Nicolas,1716503089778196783,"El problema de las finanzas públicas en Bogotá no es solo sobre gasto público, sino sobre de dónde provienen los ingresos. 🌆 Debemos mirar más allá: a la tecnología, a la moneda digital, a las alianzas con el sector privado. Inspirémonos en casos de éxito y busquemos soluciones innovadoras para respaldar nuestras finanzas y brindar servicios de calidad a los bogotanos."" #InnovaciónFinanciera #BogotáFuturo 💡"
Nicolas,1716498096408948916,RT @Lo que demuestran las elecciones en Argentina 🇦🇷 es que las encuestas no son muestra real de la voluntad de la gente.
Nicolas,1716258026556895425,Lo que demuestran las elecciones en Argentina 🇦🇷 es que las encuestas no son muestra real de la voluntad de la gente.
Nicolas,1716451298197868643,RT @#eldebatedelagente
Nicolas,1716262515401740311,#eldebatedelagente
Nicolas,1716451184683241786,RT @@Nicolas_ramos_b Todos los políticos sin EXCEPCIÓN son una verdadera MIE@#%🤬!
Nicolas,1716451023659610577,@Nicolas_ramos_b Todos los políticos sin EXCEPCIÓN son una verdadera MIE@#%🤬!
Nicolas,1716450786153038335,RT @Propongo que el próximo alcalde contrate al joven candidato @Nicolas_ramos_b que en este #ElDebateDeLaGente ha sorprendido con propuestas innovadoras y ajustadas a la realidad cambiante. @JoseMAcevedo @NoticiasRCN
Nicolas,1716261722879627543,Propongo que el próximo alcalde contrate al joven candidato @Nicolas_ramos_b que en este #ElDebateDeLaGente ha sorprendido con propuestas innovadoras y ajustadas a la realidad cambiante. @JoseMAcevedo @NoticiasRCN
Nicolas,1716443588333011417,"RT @hernanorjuela: A mi juicio, #nicolasramos tiene un buen futuro para más adelante sea un buen administrador como alcalde."
Nicolas,1716259991202435221,"A mi juicio, #nicolasramos tiene un buen futuro para más adelante sea un buen administrador como alcalde."
Nicolas,1716441100942967149,"Bogotanos y bogotanas, cuando tienen frente a ustedes una mermelada claramente contaminada, ¿se atreverían a consumirla, poniendo en riesgo su salud y bienestar? Del mismo modo, si están al tanto de que las maquinarias se alimentan de esa misma mermelada tóxica, ¿estarían dispuestos a seguir siendo cómplices? Es momento de despertar y tomar decisiones conscientes por el bien de todos."
Nicolas,1716277242836259080,📌 Sin maquinarias
Nicolas,1715951503062548636,📢 ¡Bogotá!
Nicolas,1715412086455513417,Deporte ⛹️ para Bogotá
Nicolas,1715409371679613256,"RT @#Candidato Revista C-level entrevistó a @Nicolas_ramos_b , actual candidato a la Alcaldía de Bogotá, para conocer sus propuestas en materia de inversión, innovación, emprendimiento y empleo."
Nicolas,1715395552286814665,"#Candidato Revista C-level entrevistó a @Nicolas_ramos_b , actual candidato a la Alcaldía de Bogotá, para conocer sus propuestas en materia de inversión, innovación, emprendimiento y empleo."
Nicolas,1714615485008949258,"RT @¿Transporte público gratis? ¿Legalización de la droga? ¿Alianzas? el aspirante a la Alcaldía de Bogotá @Nicolas_ramos_b, respondió estos y otros temas en #CandidatosEnLaRedacción"
Nicolas,1714421028263546884,"¿Transporte público gratis? ¿Legalización de la droga? ¿Alianzas? el aspirante a la Alcaldía de Bogotá @Nicolas_ramos_b, respondió estos y otros temas en #CandidatosEnLaRedacción"
Nicolas,1714411066736652502,"RT @.@Nicolas_ramos_b, aspirante a la Alcaldía de Bogotá, explicó en #CandidatosEnLaRedacción su propuesta para mejorar la seguridad de la ciudad."
Nicolas,1714408948952977603,".@Nicolas_ramos_b, aspirante a la Alcaldía de Bogotá, explicó en #CandidatosEnLaRedacción su propuesta para mejorar la seguridad de la ciudad."
Nicolas,1714376771590635813,Malla vial 🚧 Bogotá 🚕🚗
Nicolas,1714095462397964713,RT @NoticiasCaracol: ¿Va a quitar el pico y placa en Bogotá? Ojo a lo que proponen los candidatos a la Alcaldía
Nicolas,1713275983652962642,¿Va a quitar el pico y placa en Bogotá? Ojo a lo que proponen los candidatos a la Alcaldía
Nicolas,1714022921474068777,"Espero que BOGOTÁ, igual que ECUADOR, también le diga NO al tradicionalismo, a más de lo mismo. Cualquier parecido a la realidad (encuestas y demás) es pura coincidencia… 🤭 https://t.co/E9gpxml7w8"
Nicolas,1713995889168060561,"Espero que BOGOTÁ, igual que ECUADOR, también le diga NO al tradicionalismo, a más de lo mismo. Cualquier parecido a la realidad (encuestas y demás) es pura coincidencia… 🤭"
Nicolas,1717168084476219624,BOGOTÁ - SON USTEDES LOS DUEÑOS DE ESTA HERMOSA CIUDAD -
Nicolas,1713681955009482876,"#SOAT| Le tengo otras fuentes de ingreso público, sin poner en jaque factores de riesgo. ¿Qué pasa si innovamos con tecnología Blockchain en el sistema de salud? Optimizamos la intermediación y los limitados recursos Sr. presidente. Por ahí es el 🛣️"
Nicolas,1713551286354747662,El SOAT debe ser convertido en una contribución a la salud.
Nicolas,1713585720936247787,Originalidad vs Conformismo
Nicolas,1713576106056364257,"RT @🇮🇷🇮🇱 | ÚLTIMA HORA: Irán ha emitido advertencias públicas y ha enviado un mensaje privado a Israel a través de las Naciones Unidas de que podría intervenir si Israel continúa su campaña militar para erradicar a Hamás de Gaza, según un informe publicado por primera vez por el sitio de noticias Walla y confirmado por The Jerusalem Post."
Nicolas,1713356089977180229,"🇮🇷🇮🇱 | ÚLTIMA HORA: Irán ha emitido advertencias públicas y ha enviado un mensaje privado a Israel a través de las Naciones Unidas de que podría intervenir si Israel continúa su campaña militar para erradicar a Hamás de Gaza, según un informe publicado por primera vez por el sitio de noticias Walla y confirmado por The Jerusalem Post."
Nicolas,1713575661963518322,Propuestas 🤓 para mi amada BOGOTÁ
Nicolas,1713575096420299198,"“La campaña no ha sido en igualdad de condiciones”: Nicolás Ramos, el candidato de la máscara, no se rinde en su búsqueda de la Alcaldía de Bogotá https://t.co/cNJwfLz39v"
Nicolas,1713574950282354910,"“Nuestro enemigo no es la izquierda, ni la derecha, es el atraso”: Nicolás Ramos | EL ESPECTADOR https://t.co/iMqtj20mQJ"
Nicolas,1712981897079349735,¿Te imaginas una BOGOTÁ sin caos vehicular? 🚦
Nicolas,1712981909133762856,📲 Placas Digitales: Eficiencia - el futuro 📲
Nicolas,1712981910425604383,Datos:
Nicolas,1712870187265831280,¿Qué modelo de intervención necesita más el río Bogotá (por metro cúbico de agua residual tratada) costos de operación y mantenimiento?. Eres tan bueno con el mimetismo urbano… que engañas con facilidad incautos… donde sea y cuando quieras discutimos el tema https://t.co/Ewe9RxqeSX
Nicolas,1712800174743892335,RT @🟣Conoce el documento que consolida las propuestas de las mujeres en sus diferencias y diversidades de las 20 localidades. Allí también se plantean los desafíos para el goce efectivo de los derechos de las mujeresde Bogotá. https://t.co/kbPVivWE7z
Nicolas,1712123874232455252,🟣Conoce el documento que consolida las propuestas de las mujeres en sus diferencias y diversidades de las 20 localidades. Allí también se plantean los desafíos para el goce efectivo de los derechos de las mujeresde Bogotá. https://t.co/kbPVivWE7z
Nicolas,1712442547518177569,Basura 🚯 ya no se dice:
Nicolas,1712228154037735647,"""¡Basta de carreta! Un alcalde debe ser un artífice de transformación, no un mero gestor de lo rutinario. Cumplir con la Constitución, la ley y los derechos es el piso, no el techo. La #Ciudad5.0 nos espera, y el ATRASO no tiene cabida. #MásAccionesMenosRostros #GobiernoColaborativo"""
Nicolas,1712202026694639622,1/ 🌆 Densidad Urbana vs Dispersión Urbana: Una conversación crucial en la senda de la transformación de Bogotá. La densidad urbana no es un capricho; es una necesidad para una Ciudad 5.0. Aquí les explicaré por qué. #TransformarBogotá
Nicolas,1712184530306580940,"RT @🇺🇸🇮🇱 | ÚLTIMO MINUTO: Floyd Mayweather expresa apoyo a Israel tras ataques de Hamás y enviará su jet privado, Air Mayweather, a Israel con alimentos, suministros y chalecos antibalas para soldados de las Fuerzas de Defensa de Israel. https://t.co/4ydITwt9FA"
Nicolas,1711940129273569616,"🇺🇸🇮🇱 | ÚLTIMO MINUTO: Floyd Mayweather expresa apoyo a Israel tras ataques de Hamás y enviará su jet privado, Air Mayweather, a Israel con alimentos, suministros y chalecos antibalas para soldados de las Fuerzas de Defensa de Israel. https://t.co/4ydITwt9FA"
Nicolas,1712177618601017843,"RT @#AsiConstruimosRegion| “Organizar el gobierno multinivel para el ordenamiento territorial es nuestra apuesta, que sea enfocado en los Objetivos de Desarrollo Sostenible (ODS), que es básicamente a lo que le apuesta la RAP-E. En el 2050 vamos a tener una demanda alimentaria e hídrica”: @Nicolas_ramos_b, candidato a la Alcaldía de Bogotá."
Nicolas,1711793658599481350,"#AsiConstruimosRegion| “Organizar el gobierno multinivel para el ordenamiento territorial es nuestra apuesta, que sea enfocado en los Objetivos de Desarrollo Sostenible (ODS), que es básicamente a lo que le apuesta la RAP-E. En el 2050 vamos a tener una demanda alimentaria e hídrica”: @Nicolas_ramos_b, candidato a la Alcaldía de Bogotá."
Nicolas,1712177302014939646,"RT @“Para integrar los territorios agroproductores de la Región Central vamos a hacer un esquema de economía circular. A través de los recursos ambientales podemos generar proteína agrícola en toda la región, aumentando la producción agrícola. Vamos a generar una cadena de productividad, incentivando a la población urbana y, así, hacer que la región se vuelva una región exportadora desde la innovación”: @Nicolas_ramos_b, candidato a la Alcaldía de Bogotá"
Nicolas,1711805341187403810,"“Para integrar los territorios agroproductores de la Región Central vamos a hacer un esquema de economía circular. A través de los recursos ambientales podemos generar proteína agrícola en toda la región, aumentando la producción agrícola. Vamos a generar una cadena de productividad, incentivando a la población urbana y, así, hacer que la región se vuelva una región exportadora desde la innovación”: @Nicolas_ramos_b, candidato a la Alcaldía de Bogotá"
Nicolas,1717168084476219624,BOGOTÁ - SON USTEDES LOS DUEÑOS DE ESTA HERMOSA CIUDAD -
Nicolas,1711580079791202645,"RT @Hoy también estuvo cumpliendo la cita a las mujeres @Nicolas_ramos_b,  gran ser. Quedó muy admirado del pacto que construimos las mujeres de Bogotá; un trabajo de más de 6 meses liderado por el @mujeresbogotacc ✅ https://t.co/9dHx0eu1Kd"
Nicolas,1711574077423682008,"Hoy también estuvo cumpliendo la cita a las mujeres @Nicolas_ramos_b,  gran ser. Quedó muy admirado del pacto que construimos las mujeres de Bogotá; un trabajo de más de 6 meses liderado por el @mujeresbogotacc ✅ https://t.co/9dHx0eu1Kd"
Nicolas,1711106303081267324,"RT @#BOGOTÁ. Un coordinador de los guardianes de la ciclovía es arrestado, cuando intentaba evitar que una patrulla de la @PoliciaBogota  transitara con exceso de velocidad,  por la vía exclusiva para ciclistas y peatones. El @IDRD está pidiendo una explicación.  @JulianiMartinez https://t.co/u5CJ2q1U5h"
Nicolas,1711092775498752485,"#BOGOTÁ. Un coordinador de los guardianes de la ciclovía es arrestado, cuando intentaba evitar que una patrulla de la @PoliciaBogota  transitara con exceso de velocidad,  por la vía exclusiva para ciclistas y peatones. El @IDRD está pidiendo una explicación.  @JulianiMartinez https://t.co/u5CJ2q1U5h"
Nicolas,1710787626888769572,RT @⭕ #Noticias | Candidato a la Alcaldía de @Bogota @Nicolas_ramos_b se pronuncia sobre conflicto entre Israel - Palestina y hace llamado a la paz 👉
Nicolas,1710787543057195178,⭕ #Noticias | Candidato a la Alcaldía de @Bogota @Nicolas_ramos_b se pronuncia sobre conflicto entre Israel - Palestina y hace llamado a la paz 👉
Nicolas,1710701034589343857,"1/🕊️lo más absurdo de la historia de la humanidad, es su propia masacre. Israel - Gaza - Palestinos; Ucrania - Rusia --El ser humano se cosifica a intereses-- los mecanismos del derecho internacional público ¿son un saludo a la bandera? ""@petrogustavo"
Nicolas,1710736993099948278,Originalidad vs Conformismo
Nicolas,1710701046555721982,"6/☮️León Tolstói y su ""no violencia"", Gandhi y su ""lucha pacífica"", Nelson Mandela y su ""reconciliación"" y perdón social, Luther King jr. y la lucha por los ""derechos civiles"" por medio de la no violencia. @DianaUribefm el pacifismo como medio de acción filosófica. https://t.co/SJUXvl7v5c"
